,$f_{1}$,$f_{2}$,$f_{3}$,$f_{4}$,$f_{5}$,$f_{6}$,$f_{7}$,$f_{8}$,$f_{9}$,$f_{10}$,$f_{11}$,$f_{12}$,$f_{13}$,$f_{14}$,$f_{15}$,$f_{16}$,$f_{17}$,$f_{18}$,$f_{19}$,$f_{20}$,$f_{21}$,$f_{22}$,$f_{23}$,$f_{24}$
$m_{1}$,0.58,0.15,0.20,0.17,0.58,0.27,0.33,0.31,0.29,0.10,0.00,0.02,0.59,0.33,0.34,0.41,0.42,0.28,0.63,0.28,0.43,0.54,0.35,0.66
$m_{2}$,0.58,0.14,0.21,0.16,0.59,0.29,0.34,0.30,0.25,0.12,0.00,0.02,0.60,0.33,0.34,0.41,0.42,0.28,0.62,0.26,0.43,0.54,0.35,0.64
$m_{3}$,0.58,0.14,0.21,0.16,0.58,0.29,0.34,0.32,0.28,0.12,0.00,0.02,0.59,0.35,0.36,0.41,0.42,0.29,0.63,0.26,0.43,0.54,0.35,0.66
$m_{4}$,0.54,0.07,0.16,0.13,0.55,0.17,0.27,0.17,0.16,0.06,0.00,0.01,0.52,0.30,0.28,0.41,0.42,0.28,0.62,0.15,0.43,0.54,0.35,0.59
$m_{5}$,0.54,0.07,0.16,0.12,0.55,0.17,0.27,0.16,0.12,0.06,0.00,0.01,0.52,0.30,0.28,0.41,0.42,0.28,0.62,0.13,0.43,0.54,0.35,0.57
$m_{6}$,0.53,0.07,0.15,0.12,0.56,0.17,0.26,0.15,0.14,0.05,0.00,0.01,0.51,0.30,0.27,0.41,0.42,0.28,0.62,0.13,0.42,0.54,0.35,0.57
$m_{7}$,0.53,0.07,0.15,0.12,0.56,0.16,0.26,0.14,0.11,0.06,0.00,0.01,0.50,0.30,0.27,0.41,0.42,0.28,0.62,0.12,0.42,0.54,0.35,0.57
$m_{8}$,0.54,0.07,0.16,0.13,0.55,0.17,0.27,0.17,0.19,0.06,0.00,0.01,0.52,0.30,0.28,0.41,0.42,0.28,0.62,0.15,0.43,0.54,0.35,0.60
$m_{9}$,0.54,0.07,0.16,0.12,0.55,0.17,0.27,0.17,0.17,0.06,0.00,0.01,0.52,0.30,0.28,0.41,0.42,0.28,0.62,0.15,0.43,0.54,0.35,0.59
$m_{10}$,0.63,0.21,0.25,0.25,0.57,0.36,0.39,0.53,0.55,0.13,0.00,0.02,0.65,0.37,0.41,0.41,0.42,0.29,0.64,0.42,0.43,0.54,0.35,0.76
$m_{11}$,0.58,0.15,0.21,0.17,0.58,0.29,0.34,0.30,0.33,0.12,0.00,0.02,0.60,0.34,0.34,0.42,0.42,0.29,0.63,0.27,0.43,0.54,0.35,0.66
$m_{12}$,0.63,0.34,0.29,0.29,0.62,0.45,0.47,0.47,0.44,0.23,0.03,0.04,0.67,0.40,0.44,0.41,0.43,0.31,0.63,0.44,0.43,0.54,0.35,0.73
$m_{13}$,0.54,0.07,0.16,0.13,0.55,0.17,0.27,0.18,0.20,0.06,0.00,0.01,0.52,0.30,0.28,0.41,0.42,0.28,0.62,0.16,0.43,0.54,0.35,0.60
